#{"t_start": 1764343590.8147626, "env_id": "None"}
r,l,t
-391.570565,150,4.722656
-433.905342,150,6.390446
-426.930253,150,7.985657
-409.63478,150,9.583511
-392.582905,150,11.187523
-428.311084,150,12.781735
-425.925362,150,14.410083
-420.234288,150,15.986167
-429.353833,150,17.585141
-441.872004,150,19.180951
-433.733307,150,20.848963
-415.92482,150,22.586047
-441.123334,150,24.33543
-420.431916,150,72.36943
-441.128751,150,74.156954
-419.992747,150,75.881017
-410.274124,150,77.633011
-426.000061,150,79.358581
-439.488091,150,81.111783
-416.600894,150,82.896204
-419.253234,150,84.609161
-413.147062,150,86.403893
-421.977112,150,88.202381
-423.212189,150,90.044342
-435.333293,150,91.925986
-428.743554,150,93.70957
-440.792804,150,95.485752
-430.726653,150,144.761667
-447.708874,150,146.543732
-434.692071,150,148.31194
-409.708408,150,150.067526
-414.400081,150,151.862369
-436.440093,150,153.564584
-433.44561,150,155.363881
-448.831879,150,157.154462
-442.785181,150,158.888448
-435.105513,150,160.651005
-412.353562,150,162.47938
-418.969365,150,164.263102
-444.865203,150,165.985163
-431.04222,150,216.667949
-422.952591,150,218.451949
-430.683586,150,220.24017
-433.056384,150,221.990508
-424.193942,150,223.732983
-403.658245,150,225.521901
-436.679378,150,227.310575
-430.315732,150,229.08216
-432.206637,150,230.879124
-435.597586,150,232.700269
-433.519007,150,234.475103
-441.575994,150,236.248622
-427.224101,150,238.056705
-405.16607,150,239.858563
-453.522963,150,289.700173
-426.655972,150,291.449713
-430.146151,150,293.170885
-442.319295,150,294.964137
-442.261577,150,296.699012
-414.729251,150,298.462131
-436.63761,150,300.214718
-441.972211,150,301.984573
-413.728092,150,303.698638
-427.155305,150,305.471955
-429.292855,150,307.286483
-420.030687,150,309.029279
-435.090184,150,310.794072
-440.221259,150,312.589479
-405.7376,150,362.927658
-420.766769,150,364.712058
-399.733343,150,366.547065
-384.672929,150,368.317695
-417.237216,150,370.10596
-443.177802,150,371.9192
-420.564311,150,373.725877
-427.720601,150,375.57018
-404.934183,150,377.418949
-403.089357,150,379.248126
-392.534333,150,381.030396
-387.548625,150,382.858913
-431.116248,150,384.625152
-422.633893,150,434.061808
-425.542934,150,435.877799
-404.729678,150,437.583002
-421.664323,150,439.389402
-404.083062,150,441.144207
-408.962391,150,442.884015
-429.147323,150,444.601103
-412.87868,150,446.34708
-389.589699,150,448.0884
-400.260026,150,449.840125
-432.422177,150,451.655468
-409.749107,150,453.427314
-410.015856,150,455.200093
-399.146312,150,457.000188
-431.205435,150,504.71528
-421.151948,150,506.53094
-387.018995,150,508.340489
-388.986778,150,510.093578
-402.723953,150,511.855955
-420.80806,150,513.627155
-393.773387,150,515.409589
-414.431944,150,517.183405
-412.266939,150,518.981622
-407.26256,150,520.780384
-377.472539,150,522.55442
-378.112806,150,524.327882
-389.975044,150,526.092762
-402.770282,150,527.871363
-369.984977,150,578.092578
-387.991412,150,579.893022
-381.22642,150,581.698159
-390.374977,150,583.483042
-395.840503,150,585.330767
-413.776341,150,587.161052
-389.427805,150,588.916146
-410.861388,150,590.708921
-409.852866,150,592.523764
-416.60502,150,594.264642
-390.585267,150,596.033061
-405.860317,150,597.772221
-396.149977,150,599.552029
